species,red_list_url
Acipenser sturio,https://www.iucnredlist.org/species/230/13040963
Acipenser gueldenstaedtii,https://www.iucnredlist.org/species/232/135063140
Acipenser medirostris,https://www.iucnredlist.org/species/233/97433481
Acipenser transmontanus,https://www.iucnredlist.org/species/234/97440736
Acipenser persicus,https://www.iucnredlist.org/species/235/135063465
Acipenser sinensis,https://www.iucnredlist.org/species/236/219152605
Acipenser mikadoi,https://www.iucnredlist.org/species/241/227578157
Acipenser oxyrinchus ssp. desotoi,https://www.iucnredlist.org/species/242/50119604
Acipenser oxyrinchus ssp. oxyrinchus,https://www.iucnredlist.org/species/243/95763750
Acipenser baerii,https://www.iucnredlist.org/species/244/156718817
Acipenser oxyrinchus,https://www.iucnredlist.org/species/245/2785934
Acipenser gueldenstaedtii Caspian Sea subpopulation,https://www.iucnredlist.org/species/246/137223181
Acipenser nudiventris Black Sea and Sea of Azov subpopulation,https://www.iucnredlist.org/species/249/137223628
Acipenser nudiventris Caspian Sea subpopulation,https://www.iucnredlist.org/species/250/137223707
Acipenser stellatus Caspian Sea subpopulation,https://www.iucnredlist.org/species/254/137224288
Acipenser transmontanus Kootenai River subpopulation,https://www.iucnredlist.org/species/257/95764024
"Acipenser ruthenus Rivers Irtysh, Ob and Yenisei subpopulation",https://www.iucnredlist.org/species/259/137224166
Acomys cahirinus,https://www.iucnredlist.org/species/263/115048396
Acomys cilicicus,https://www.iucnredlist.org/species/264/22453458
Acomys cineraceus,https://www.iucnredlist.org/species/265/115048552
Acomys ignitus,https://www.iucnredlist.org/species/266/22453586
Acomys kempi,https://www.iucnredlist.org/species/267/115048698
Acomys louisae,https://www.iucnredlist.org/species/268/115048823
Acomys minous,https://www.iucnredlist.org/species/269/2789048
Acomys mullah,https://www.iucnredlist.org/species/270/22453809
Acomys percivali,https://www.iucnredlist.org/species/272/115049816
Acomys russatus,https://www.iucnredlist.org/species/273/22452593
Acomys subspinosus,https://www.iucnredlist.org/species/275/110016981
Acomys wilsoni,https://www.iucnredlist.org/species/276/113477310
Aconaemys fuscus,https://www.iucnredlist.org/species/278/78318793
Aconaemys sagei,https://www.iucnredlist.org/species/279/78318855
Acrantophis dumerili,https://www.iucnredlist.org/species/282/13054798
Acrantophis madagascariensis,https://www.iucnredlist.org/species/283/13055130
Acroloxus coloradensis,https://www.iucnredlist.org/species/315/62821344
Actinella actinophora,https://www.iucnredlist.org/species/499/13055716
Plebecula anaglyptica,https://www.iucnredlist.org/species/500/13056002
Actinella armitageana,https://www.iucnredlist.org/species/501/13056250
Actinella carinofausta,https://www.iucnredlist.org/species/502/13056478
Domunculifex littorinella,https://www.iucnredlist.org/species/503/13056847
Plebecula giramica,https://www.iucnredlist.org/species/505/13057229
Actinella laciniosa,https://www.iucnredlist.org/species/506/13057442
Actinella obserata,https://www.iucnredlist.org/species/507/13057634
Addax nasomaculatus,https://www.iucnredlist.org/species/512/50180603
Adelotus brevis,https://www.iucnredlist.org/species/520/78427450
Adelphicos daryi,https://www.iucnredlist.org/species/521/3014000
Adrianichthys kruyti,https://www.iucnredlist.org/species/523/90980485
Handleyomys fuscatus,https://www.iucnredlist.org/species/547/22328263
Aepeomys lugens,https://www.iucnredlist.org/species/548/22353573
Aepyceros melampus,https://www.iucnredlist.org/species/550/50180828
Aeretes melanopterus,https://www.iucnredlist.org/species/555/22269634
Aeromys tephromelas,https://www.iucnredlist.org/species/556/22271336
Aeromys thomasi,https://www.iucnredlist.org/species/557/115050074
Pinheyschna meruensis,https://www.iucnredlist.org/species/561/72365192
Aeshna viridis,https://www.iucnredlist.org/species/563/138481922
Aethalops alecto,https://www.iucnredlist.org/species/565/229798079
Aethomys silindensis,https://www.iucnredlist.org/species/567/22457809
Aethomys bocagei,https://www.iucnredlist.org/species/568/115050232
Aethomys chrysophilus,https://www.iucnredlist.org/species/569/115050345
Micaelamys granti,https://www.iucnredlist.org/species/570/110017075
Aethomys hindei,https://www.iucnredlist.org/species/571/115050521
Aethomys kaiseri,https://www.iucnredlist.org/species/572/115050664
Micaelamys namaquensis,https://www.iucnredlist.org/species/573/114636514
Aethomys nyikae,https://www.iucnredlist.org/species/574/115050999
Aethomys stannarius,https://www.iucnredlist.org/species/575/22458544
Aethomys thomasi,https://www.iucnredlist.org/species/576/115051120
Afrithelphusa leonensis,https://www.iucnredlist.org/species/592/134452846
Afrithelphusa gerhildae,https://www.iucnredlist.org/species/593/134452648
Afrithelphusa afzelii,https://www.iucnredlist.org/species/594/134452404
Afrithelphusa monodosa,https://www.iucnredlist.org/species/595/134453041
Afrixalus aureus,https://www.iucnredlist.org/species/596/3079746
Afroedura hawequensis,https://www.iucnredlist.org/species/612/197396890
Africanogyrus rodriguezensis,https://www.iucnredlist.org/species/618/91287686
Africanogyrus starmuehlneri,https://www.iucnredlist.org/species/619/91287776
Agonostomus telfairii,https://www.iucnredlist.org/species/697/174775712
Cuniculus paca,https://www.iucnredlist.org/species/699/22197347
Cuniculus taczanowskii,https://www.iucnredlist.org/species/700/22197554
Agriades zullichi,https://www.iucnredlist.org/species/701/53713080
Agrotis crinigera,https://www.iucnredlist.org/species/704/189702899
Agrotis fasciata,https://www.iucnredlist.org/species/705/189702927
Agrotis kerri,https://www.iucnredlist.org/species/706/189702955
Agrotis laysanensis,https://www.iucnredlist.org/species/707/189702983
Agrotis photophila,https://www.iucnredlist.org/species/708/189703011
Agrotis procellaris,https://www.iucnredlist.org/species/709/189703039
Ailuropoda melanoleuca,https://www.iucnredlist.org/species/712/121745669
Ailurus fulgens,https://www.iucnredlist.org/species/714/110023718
Akodon aerosus,https://www.iucnredlist.org/species/723/22380418
Akodon affinis,https://www.iucnredlist.org/species/724/22380499
Akodon albiventer,https://www.iucnredlist.org/species/725/115051226
Akodon azarae,https://www.iucnredlist.org/species/726/115051347
Neomicroxus bogotensis,https://www.iucnredlist.org/species/727/22380569
Akodon boliviensis,https://www.iucnredlist.org/species/728/22380659
Akodon budini,https://www.iucnredlist.org/species/729/22379926
Akodon cursor,https://www.iucnredlist.org/species/730/115051477
Akodon dayi,https://www.iucnredlist.org/species/731/115051592
Akodon fumeus,https://www.iucnredlist.org/species/733/115051715
Abrothrix illutea,https://www.iucnredlist.org/species/735/22337589
Akodon iniscatus,https://www.iucnredlist.org/species/736/115051841
Akodon juninensis,https://www.iucnredlist.org/species/737/115051962
Deltamys kempi,https://www.iucnredlist.org/species/738/22338967
Akodon kofordi,https://www.iucnredlist.org/species/739/22382602
Abrothrix lanosus,https://www.iucnredlist.org/species/740/22337685
Neomicroxus latebricola,https://www.iucnredlist.org/species/741/22382354
Akodon lindberghi,https://www.iucnredlist.org/species/742/22382527
Abrothrix longipilis,https://www.iucnredlist.org/species/743/115048280
Akodon mimus,https://www.iucnredlist.org/species/746/115052068
Akodon molinae,https://www.iucnredlist.org/species/747/115052185
Akodon mollis,https://www.iucnredlist.org/species/748/22383156
Thaptomys nigrita,https://www.iucnredlist.org/species/750/22333428
Abrothrix olivaceus,https://www.iucnredlist.org/species/751/22337955
Akodon orophilus,https://www.iucnredlist.org/species/752/22382763
Akodon lutescens,https://www.iucnredlist.org/species/753/22381474
Abrothrix sanborni,https://www.iucnredlist.org/species/754/22337774
Akodon sanctipaulensis,https://www.iucnredlist.org/species/755/22381397
Akodon serrensis,https://www.iucnredlist.org/species/756/115052301
Akodon siberiae,https://www.iucnredlist.org/species/757/22381246
Akodon simulator,https://www.iucnredlist.org/species/758/22381167
Akodon subfuscus,https://www.iucnredlist.org/species/760/22381005
Akodon surdus,https://www.iucnredlist.org/species/761/22382206
Akodon sylvanus,https://www.iucnredlist.org/species/762/22382115
Akodon toba,https://www.iucnredlist.org/species/763/22381962
Akodon torques,https://www.iucnredlist.org/species/764/115052408
Necromys urichi,https://www.iucnredlist.org/species/765/115052532
Akodon varius,https://www.iucnredlist.org/species/766/22381621
Alasmidonta atropurpurea,https://www.iucnredlist.org/species/774/3142336
Alasmidonta heterodon,https://www.iucnredlist.org/species/775/13077570
Alasmidonta raveneliana,https://www.iucnredlist.org/species/776/3142501
Alasmidonta marginata,https://www.iucnredlist.org/species/779/69490612
Alasmidonta mccordi,https://www.iucnredlist.org/species/780/13078346
Alasmidonta varicosa,https://www.iucnredlist.org/species/781/69490583
Alburnus albidus,https://www.iucnredlist.org/species/788/13079220
Alburnus alburnus,https://www.iucnredlist.org/species/789/174775859
Alburnus heckeli,https://www.iucnredlist.org/species/790/19005957
Alcelaphus buselaphus,https://www.iucnredlist.org/species/811/143160967
Algyroides marchi,https://www.iucnredlist.org/species/840/13082975
Alionycteris paucidentata,https://www.iucnredlist.org/species/843/22037501
Allactaga tetradactyla,https://www.iucnredlist.org/species/850/22201540
Allactaga balikunica,https://www.iucnredlist.org/species/851/22201701
Allactaga bullata,https://www.iucnredlist.org/species/852/115052658
Scarturus euphratica,https://www.iucnredlist.org/species/854/22201790
Allactaga firouzi,https://www.iucnredlist.org/species/855/22202302
Allactaga hotsoni,https://www.iucnredlist.org/species/856/115052791
Allactaga major,https://www.iucnredlist.org/species/857/115052919
Allactaga severtzovi,https://www.iucnredlist.org/species/858/115053105
Allactaga sibirica,https://www.iucnredlist.org/species/859/115053235
Scarturus vinogradovi,https://www.iucnredlist.org/species/860/22202588
Allactodipus bobrinskii,https://www.iucnredlist.org/species/861/115053380
Allenopithecus nigroviridis,https://www.iucnredlist.org/species/865/166606573
Alligator sinensis,https://www.iucnredlist.org/species/867/3146005
Allocebus trichotis,https://www.iucnredlist.org/species/868/115559302
Haplochromis welcommei,https://www.iucnredlist.org/species/872/97101653
Allocricetulus eversmanni,https://www.iucnredlist.org/species/875/115053494
Allognathus graellsianus,https://www.iucnredlist.org/species/877/13088057
Allotoca maculata,https://www.iucnredlist.org/species/881/3147389
Vulpes lagopus,https://www.iucnredlist.org/species/899/57549321
Alosa alosa,https://www.iucnredlist.org/species/903/13091343
Alosa fallax,https://www.iucnredlist.org/species/904/174776207
Alosa macedonica,https://www.iucnredlist.org/species/905/13092853
Alosa maeotica,https://www.iucnredlist.org/species/906/13093182
Alosa immaculata,https://www.iucnredlist.org/species/907/13093654
Alosa alabamae,https://www.iucnredlist.org/species/908/3149565
Alouatta pigra,https://www.iucnredlist.org/species/914/17926000
Alouatta ululata,https://www.iucnredlist.org/species/918/190435652
Alouatta palliata ssp. aequatorialis,https://www.iucnredlist.org/species/919/17979025
Alouatta juara,https://www.iucnredlist.org/species/922/190422355
Alouatta palliata ssp. mexicana,https://www.iucnredlist.org/species/925/17978896
Alsodes barrioi,https://www.iucnredlist.org/species/928/79808332
Alsodes montanus,https://www.iucnredlist.org/species/929/79808437
Alsodes vanzolinii,https://www.iucnredlist.org/species/932/79808564
Alsophis antiguae,https://www.iucnredlist.org/species/939/71739009
Hypsirhynchus ater,https://www.iucnredlist.org/species/940/115053626
Alsophis rijgersmaei,https://www.iucnredlist.org/species/941/115053801
Alsophis rufiventris,https://www.iucnredlist.org/species/942/115053994
Alticola albicaudus,https://www.iucnredlist.org/species/948/22342817
Alticola argentatus,https://www.iucnredlist.org/species/949/115054150
Alticola barakshin,https://www.iucnredlist.org/species/950/22343139
Alticola lemminus,https://www.iucnredlist.org/species/951/115054300
Alticola macrotis,https://www.iucnredlist.org/species/952/115054407
Alticola montosa,https://www.iucnredlist.org/species/953/115054544
Alticola roylei,https://www.iucnredlist.org/species/954/115054678
Alticola semicanus,https://www.iucnredlist.org/species/955/115054839
Alticola stoliczkanus,https://www.iucnredlist.org/species/956/115054969
Alticola strelzowi,https://www.iucnredlist.org/species/958/115055112
Alticola tuvinicus,https://www.iucnredlist.org/species/959/22342594
Alytes muletensis,https://www.iucnredlist.org/species/977/89697685
Alytes dickhilleni,https://www.iucnredlist.org/species/979/89697540
Alzoniella hartwigschuetti,https://www.iucnredlist.org/species/980/13099938
Amanipodagrion gilliesi,https://www.iucnredlist.org/species/984/13100344
Ambassis agassizii,https://www.iucnredlist.org/species/1074/174776583
Ambassis elongata,https://www.iucnredlist.org/species/1075/123377611
Ambloplites cavifrons,https://www.iucnredlist.org/species/1078/498639
Troglichthys rosae,https://www.iucnredlist.org/species/1079/19032420
Amblyopsis spelaea,https://www.iucnredlist.org/species/1080/19034608
Amblyrhynchus cristatus,https://www.iucnredlist.org/species/1086/177552193
Neamblysomus gunningi,https://www.iucnredlist.org/species/1087/21283546
Neamblysomus julianae,https://www.iucnredlist.org/species/1089/21285354
Ambystoma lermaense,https://www.iucnredlist.org/species/1093/176771946
Ambystoma mexicanum,https://www.iucnredlist.org/species/1095/53947343
Ambystoma californiense,https://www.iucnredlist.org/species/1098/118971391
Ambystoma cingulatum,https://www.iucnredlist.org/species/1099/118971595
Ameca splendens,https://www.iucnredlist.org/species/1117/500918
