species,red_list_url
Alasmidonta varicosa,https://www.iucnredlist.org/species/781/69490583
Alburnus akili,https://www.iucnredlist.org/species/787/19005895
Alburnus albidus,https://www.iucnredlist.org/species/788/13079220
Alburnus alburnus,https://www.iucnredlist.org/species/789/174775859
Alburnus heckeli,https://www.iucnredlist.org/species/790/19005957
Alcelaphus buselaphus,https://www.iucnredlist.org/species/811/143160967
Algyroides marchi,https://www.iucnredlist.org/species/840/13082975
Alionycteris paucidentata,https://www.iucnredlist.org/species/843/22037501
Allactaga tetradactyla,https://www.iucnredlist.org/species/850/22201540
Allactaga balikunica,https://www.iucnredlist.org/species/851/22201701
Allactaga bullata,https://www.iucnredlist.org/species/852/115052658
Scarturus euphratica,https://www.iucnredlist.org/species/854/22201790
Allactaga firouzi,https://www.iucnredlist.org/species/855/22202302
Allactaga hotsoni,https://www.iucnredlist.org/species/856/115052791
Allactaga major,https://www.iucnredlist.org/species/857/115052919
Allactaga severtzovi,https://www.iucnredlist.org/species/858/115053105
Allactaga sibirica,https://www.iucnredlist.org/species/859/115053235
Scarturus vinogradovi,https://www.iucnredlist.org/species/860/22202588
Allactodipus bobrinskii,https://www.iucnredlist.org/species/861/115053380
Allenopithecus nigroviridis,https://www.iucnredlist.org/species/865/166606573
Alligator sinensis,https://www.iucnredlist.org/species/867/3146005
Allocebus trichotis,https://www.iucnredlist.org/species/868/115559302
Haplochromis welcommei,https://www.iucnredlist.org/species/872/97101653
Allocricetulus eversmanni,https://www.iucnredlist.org/species/875/115053494
Allognathus graellsianus,https://www.iucnredlist.org/species/877/13088057
Allotoca maculata,https://www.iucnredlist.org/species/881/3147389
Aloeides caledoni,https://www.iucnredlist.org/species/882/168307311
Aloeides dentatis,https://www.iucnredlist.org/species/883/165245575
Aloeides egerides,https://www.iucnredlist.org/species/884/168303111
Aloeides lutescens,https://www.iucnredlist.org/species/885/168309444
Aloeides carolynnae,https://www.iucnredlist.org/species/886/165245627
Aloeides kaplani,https://www.iucnredlist.org/species/887/175055918
Aloeides merces,https://www.iucnredlist.org/species/888/175056046
Aloeides nollothi,https://www.iucnredlist.org/species/889/175056159
Aloeides nubilus,https://www.iucnredlist.org/species/890/168307519
Aloeides pringlei,https://www.iucnredlist.org/species/891/161281477
Aloeides rossouwi,https://www.iucnredlist.org/species/892/168302094
Aloeides dentatis ssp. maseruna,https://www.iucnredlist.org/species/894/181617920
Vulpes lagopus,https://www.iucnredlist.org/species/899/57549321
Alosa alosa,https://www.iucnredlist.org/species/903/13091343
Alosa fallax,https://www.iucnredlist.org/species/904/174776207
